<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDCB,D,240110,000000,90.404
USDCB,D,240111,000000,89.3939
USDCB,D,240112,000000,88.7818
USDCB,D,240113,000000,88.1324
USDCB,D,240116,000000,87.6772
USDCB,D,240117,000000,87.6457
USDCB,D,240118,000000,88.354
USDCB,D,240119,000000,88.661
USDCB,D,240120,000000,88.5896
USDCB,D,240123,000000,87.9724
USDCB,D,240124,000000,87.9199
USDCB,D,240125,000000,88.2829
USDCB,D,240126,000000,88.6562
USDCB,D,240127,000000,89.5159
USDCB,D,240130,000000,89.609
USDCB,D,240131,000000,89.2887
USDCB,D,240201,000000,89.6678
USDCB,D,240202,000000,90.2299
USDCB,D,240203,000000,90.6626
USDCB,D,240206,000000,91.2434
USDCB,D,240207,000000,90.6842
USDCB,D,240208,000000,91.1514
USDCB,D,240209,000000,91.2561
USDCB,D,240210,000000,90.8901
USDCB,D,240213,000000,91.0758
USDCB,D,240214,000000,91.2057
USDCB,D,240215,000000,91.4316
USDCB,D,240216,000000,91.8237
USDCB,D,240217,000000,92.5492
USDCB,D,240220,000000,92.4102
USDCB,D,240221,000000,92.349
USDCB,D,240222,000000,92.4387
USDCB,D,240223,000000,92.7519
USDCB,D,240227,000000,92.6321
USDCB,D,240228,000000,92.0425
USDCB,D,240229,000000,91.8692
USDCB,D,240301,000000,90.8423
USDCB,D,240302,000000,91.3336
USDCB,D,240305,000000,91.3534
USDCB,D,240306,000000,91.1604
USDCB,D,240307,000000,90.3412
USDCB,D,240308,000000,90.7493
USDCB,D,240312,000000,90.6252
USDCB,D,240313,000000,90.8818
USDCB,D,240314,000000,91.5449
USDCB,D,240315,000000,91.6359
USDCB,D,240316,000000,91.87
USDCB,D,240319,000000,91.9829
USDCB,D,240320,000000,92.2243
USDCB,D,240321,000000,92.6861
USDCB,D,240322,000000,91.9499
USDCB,D,240323,000000,92.6118
USDCB,D,240326,000000,92.7761
USDCB,D,240327,000000,92.5745
USDCB,D,240328,000000,92.5919
USDCB,D,240329,000000,92.2628
USDCB,D,240330,000000,92.366
USDCB,D,240402,000000,92.2914
USDCB,D,240403,000000,92.5254
USDCB,D,240404,000000,92.3892
USDCB,D,240405,000000,92.3058
USDCB,D,240406,000000,92.4155
USDCB,D,240409,000000,92.581
USDCB,D,240410,000000,92.7463
USDCB,D,240411,000000,93.2198
USDCB,D,240412,000000,93.7196
USDCB,D,240413,000000,93.4419
USDCB,D,240416,000000,93.5891
USDCB,D,240417,000000,94.0742
USDCB,D,240418,000000,94.3242
USDCB,D,240419,000000,94.0922
USDCB,D,240420,000000,93.4409
USDCB,D,240423,000000,93.2519
USDCB,D,240424,000000,93.2918
USDCB,D,240425,000000,92.5058
USDCB,D,240426,000000,92.1314
USDCB,D,240427,000000,92.0134
USDCB,D,240428,000000,91.7791
USDCB,D,240503,000000,92.0538
USDCB,D,240504,000000,91.6918
USDCB,D,240507,000000,91.3124
USDCB,D,240508,000000,91.1231
USDCB,D,240509,000000,91.8239
USDCB,D,240514,000000,91.633
USDCB,D,240515,000000,91.3591
USDCB,D,240516,000000,91.2573
USDCB,D,240517,000000,90.9239
USDCB,D,240518,000000,90.9873
USDCB,D,240521,000000,90.6537
USDCB,D,240522,000000,90.4082
USDCB,D,240523,000000,90.1887
USDCB,D,240524,000000,90.2486
USDCB,D,240525,000000,89.7026
USDCB,D,240528,000000,88.6852
USDCB,D,240529,000000,88.4375
USDCB,D,240530,000000,89.2589
USDCB,D,240531,000000,89.7869
USDCB,D,240601,000000,90.1915
USDCB,D,240604,000000,89.3755
USDCB,D,240605,000000,88.7574
USDCB,D,240606,000000,88.7436
USDCB,D,240607,000000,88.7604
USDCB,D,240608,000000,88.7606
USDCB,D,240611,000000,88.9944
USDCB,D,240612,000000,89.0214
USDCB,D,240614,000000,88.208
USDCB,D,240615,000000,89.0658
USDCB,D,240618,000000,89.0499
USDCB,D,240619,000000,87.0354
USDCB,D,240620,000000,82.6282
USDCB,D,240621,000000,85.4176
USDCB,D,240622,000000,87.9595
USDCB,D,240625,000000,87.373
USDCB,D,240626,000000,87.277
USDCB,D,240627,000000,87.8064
USDCB,D,240628,000000,84.964
USDCB,D,240629,000000,85.748
USDCB,D,240702,000000,87.2972
USDCB,D,240703,000000,87.9921
USDCB,D,240704,000000,87.9506
USDCB,D,240705,000000,88.1205
USDCB,D,240706,000000,88.1348
USDCB,D,240709,000000,88.1688
USDCB,D,240710,000000,88.0031
USDCB,D,240711,000000,87.8551
USDCB,D,240712,000000,87.988
USDCB,D,240713,000000,87.7427
USDCB,D,240716,000000,87.8077
USDCB,D,240717,000000,88.2824
USDCB,D,240718,000000,88.0872
USDCB,D,240719,000000,87.8754
USDCB,D,240720,000000,88.0206
USDCB,D,240723,000000,87.7805
USDCB,D,240724,000000,87.299
USDCB,D,240725,000000,86.5502
USDCB,D,240726,000000,85.41
USDCB,D,240727,000000,85.565
USDCB,D,240730,000000,86.5554
USDCB,D,240731,000000,86.33
USDCB,D,240801,000000,86.1091
USDCB,D,240802,000000,85.7833
USDCB,D,240803,000000,85.7024
USDCB,D,240806,000000,84.9471
USDCB,D,240807,000000,85.1646
USDCB,D,240808,000000,85.9543
USDCB,D,240809,000000,86.5621
USDCB,D,240810,000000,87.992
USDCB,D,240813,000000,89.9475
